epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4866.61,1.04508,0.63335,1.24243,0.98918,0.97711,0.99105,0.75634,0.84778,0.42539,1.09471,0.000848969,0.000848969,0.000848969
43,4982.58,1.05493,0.64968,1.25071,0.98761,0.9791,0.99129,0.76455,0.82377,0.42004,1.09059,0.000834822,0.000834822,0.000834822
44,5098.88,1.02497,0.63209,1.23705,0.98436,0.97494,0.99099,0.76643,0.82344,0.40979,1.10131,0.000820675,0.000820675,0.000820675
45,5214.71,1.03301,0.62583,1.23375,0.9829,0.97907,0.99148,0.77205,0.83053,0.40156,1.10375,0.000806528,0.000806528,0.000806528
46,5330.36,1.03005,0.61313,1.23097,0.98077,0.97314,0.99175,0.76717,0.83246,0.40801,1.10009,0.00079238,0.00079238,0.00079238
47,5445.26,1.0325,0.60693,1.23145,0.98213,0.98495,0.99243,0.76905,0.81438,0.40359,1.08739,0.000778233,0.000778233,0.000778233
48,5560.46,1.01032,0.60147,1.21569,0.98784,0.97911,0.99147,0.78637,0.79748,0.3923,1.07504,0.000764086,0.000764086,0.000764086
49,5675.8,0.99153,0.58925,1.21665,0.98665,0.98457,0.99221,0.7777,0.80685,0.39207,1.08481,0.000749939,0.000749939,0.000749939
50,5790.45,0.98917,0.58332,1.21604,0.98917,0.98101,0.99189,0.79047,0.77287,0.38153,1.06498,0.000735792,0.000735792,0.000735792
51,5905.51,1.00473,0.59384,1.2162,0.98595,0.98102,0.99186,0.7866,0.77858,0.39238,1.06024,0.000721645,0.000721645,0.000721645
52,6019.79,0.9727,0.57023,1.20115,0.98794,0.97907,0.9914,0.7884,0.77748,0.38417,1.06049,0.000707498,0.000707498,0.000707498
53,6134.14,0.98862,0.58699,1.21299,0.98512,0.98491,0.99265,0.79662,0.76086,0.37719,1.05624,0.000693351,0.000693351,0.000693351
54,6248.97,0.96646,0.57227,1.206,0.98484,0.98521,0.99225,0.79566,0.76811,0.37687,1.05887,0.000679204,0.000679204,0.000679204
55,6363.57,0.94248,0.55051,1.18267,0.98657,0.98689,0.99293,0.79835,0.74392,0.36886,1.05008,0.000665057,0.000665057,0.000665057
56,6479.01,0.95733,0.56665,1.19911,0.99086,0.98204,0.99254,0.79925,0.75285,0.36936,1.05885,0.000650909,0.000650909,0.000650909
57,6594.9,0.95847,0.55245,1.19495,0.98902,0.98458,0.99312,0.80561,0.7374,0.36705,1.0404,0.000636762,0.000636762,0.000636762
58,6710.39,0.93372,0.54167,1.18057,0.99116,0.98579,0.99368,0.80955,0.72569,0.35352,1.03157,0.000622615,0.000622615,0.000622615
59,6826.45,0.92677,0.5318,1.17707,0.99138,0.98716,0.9938,0.80479,0.7412,0.35374,1.04326,0.000608468,0.000608468,0.000608468
60,6942.3,0.92427,0.53192,1.17594,0.9906,0.98568,0.99324,0.81403,0.71904,0.35447,1.03361,0.000594321,0.000594321,0.000594321
61,7058.19,0.93373,0.5334,1.1811,0.98825,0.98537,0.9938,0.80713,0.72877,0.35561,1.04108,0.000580174,0.000580174,0.000580174
62,7173.42,0.91139,0.53076,1.16439,0.9924,0.98583,0.99362,0.81591,0.69736,0.34259,1.01715,0.000566027,0.000566027,0.000566027
63,7289.48,0.91482,0.51615,1.17111,0.99161,0.98833,0.99353,0.81722,0.70707,0.34695,1.02598,0.00055188,0.00055188,0.00055188
64,7405.26,0.91895,0.52298,1.17609,0.99265,0.98853,0.99363,0.81871,0.69286,0.33894,1.0218,0.000537733,0.000537733,0.000537733
65,7521.19,0.91041,0.51469,1.16161,0.98914,0.98837,0.99073,0.81852,0.70277,0.33961,1.02002,0.000523586,0.000523586,0.000523586
